[regular verb]
aah,aahed
alphabetise,alphabetised
alphabetize,alphabetized
altar,altared
altercate,altercated
alter,altered
alternate,alternated
aluminise,aluminised
aluminize,aluminized
alveate,alveated
alveolate,alveolated
amalgamate,amalgamated
amass,amassed
amate,amated
amaz,amazed
head,headed
hue,hued
lock,locked
tint,tinted
tip,tipped
ambition,ambitioned
amble,ambled
ambulanc,ambulanced
ambulate,ambulated
ambuscad,ambuscaded
ambuscado,ambuscadoed
ambush,ambushed
ameliorate,ameliorated
amen,amended
amerce,amerced
americanise,americanised
amice,amiced
amidate,amidated
aminate,aminated
amind,aminded
ammoniate,ammoniated
ammonify,ammonified
ammoniuret,ammoniureted
ammonolyze,ammonolyzed
amnesty,amnestied
amortise,amortised
amortize,amortized
amount,amounted
amove,amoved
amphitheater,amphitheatered
amplify,amplified
ampulate,ampulated
ampullate,ampullated
amputate,amputated
anabaptize,anabaptized
anaesthetize,anaesthetized
anagrammatise,anagrammatised
anagrammatize,anagrammatized
anagram,anagrammed
analyse,analysed
analyze,analyzed
analogise,analogised
analogize,analogized
anastomose,anastomosed
anathematise,anathematised
anathematize,anathematized
anatomise,anatomised
anatomize,anatomized
anchylose,anchylosed
anchor,anchored
and,anded
androm,andromed
anel,aneled
anematize,anematized
anesthetize,anesthetized
build,builded
angel,angeled
guard,guarded
herald,heralded
angelize,angelized
war,warned
angle,angled
tooth,toothed
anglicise,anglicised
anglicize,anglicized
anglify,anglified
anguip,anguiped
angulate,angulated
angulinerve,angulinerved
animalise,animalised
animalize,animalized
animize,animized
anisate,anisated
ankylose,ankylosed
ankle,ankled
jacke,jacked
anneal,annealed
annex,annexed
annihilate,annihilated
annodate,annodated
annotate,annotated
announce,announced
annualize,annualized
annulate,annulated
annull,annulled
annunciate,annunciated
anodize,anodized
anomalip,anomaliped
ansate,ansated
anserate,anserated
anst,ansted
antagonise,antagonised
antagonize,antagonized
anteced,anteceded
ant,anted
antedate,antedated
anteflect,anteflected
anteflex,anteflexed
antevert,anteverted
anthem,anthemed
anthologise,anthologised
anthologize,anthologized
anthropomorphise,anthropomorphised
anthropomorphize,anthropomorphized
anticipate,anticipated
antick,anticked
antidote,antidoted
antimoniate,antimoniated
antimoniuret,antimoniureted
antimoniuret,antimoniuretted
antiquate,antiquated
antique,antiqued
antisepticise,antisepticised
antisepticize,antisepticized
antler,antlered
anucleate,anucleated
anvil,anviled
anvill,anvilled
apanage,apanaged
ap,aped
apertur,apertured
apex,apexed
aphorise,aphorised
aphorize,aphorized
apicifix,apicifixed
apiculate,apiculated
apocopate,apocopated
apologise,apologised
apologize,apologized
apostatise,apostatised
apostatize,apostatized
apostrophy,apostrophied
apostrophise,apostrophised
apostrophize,apostrophized
apotheosise,apotheosised
apotheosize,apotheosized
apparel,appareled
apparell,apparelled
appeal,appealed
appease,appeased
appendiculate,appendiculated
appendix,appendixed
appetize,appetized
app,appled
scent,scented
shape,shaped
apply,applied
applique,appliqued
appose,apposed
appraise,appraised
appreciate,appreciated
apprentice,apprenticed
appress,appressed
apprise,apprised
apprize,apprized
approach,approached
approbate,approbated
appropriate,appropriated
approximate,approximated
apron,aproned
aquaplan,aquaplaned
aquatint,aquatinted
nose,nosed
arabize,arabized
aralkylate,aralkylated
arbitrate,arbitrated
arbor,arbored
arborize,arborized
arboure,arboured
arcad,arcaded
arce,arced
archaise,archaised
archaize,archaized
arch,arched
architrave,architraved
archive,archived
arcticize,arcticized
arcuate,arcuated
ar,ared
areolate,areolated
bargy,bargied
arglebargle,arglebargled
argle,argled
argufy,argufied
aryanise,aryanised
arylate,arylated
aril,ariled
arillate,arillated
arill,arilled
arise,arised
arithmetize,arithmetized
armature,armatured
armie,armied
armillate,armillated
link,linked
armory,armoried
armorplate,armorplated
plate,plated
aroint,arointed
aroynt,aroynted
aromatise,aromatised
aromatize,aromatized
arouse,aroused
arpeggiate,arpeggiated
arpeggio,arpeggioed
arquate,arquated
array,arrayed
arraign,arraigned
arrange,arranged
arrase,arrased
arrogate,arrogated
arrowhead,arrowheaded
smite,smitten
arsenet,arseneted
arsenet,arsenetted
arsenick,arsenicked
arseniuret,arseniureted
arseniuret,arseniuretted
arterialise,arterialised
arterialize,arterialized
artery,arteried
article,articled
articulate,articulated
coate,coated
corrugate,corrugated
pack,packed
weld,welded
ascar,ascared
ascend,ascended
ascertaine,ascertained
ascribe,ascribed
asepticize,asepticized
asexualise,asexualised
asexualize,asexualized
asham,ashamed
belly,bellied
color,colored
ash,ashed
ashlar,ashlared
ashler,ashlered
stave,staved
throate,throated
asperate,asperated
asperse,aspersed
asphalt,asphalted
asphyxiate,asphyxiated
asphyxy,asphyxied
aspirate,aspirated
aspire,aspired
assagay,assagaied
assay,assayed
assail,assailed
assassinate,assassinated
assault,assaulted
assegay,assegaied
assemble,assembled
assent,assented
assert,asserted
assess,assessed
asseverate,asseverated
assibilate,assibilated
assign,assigned
assimilate,assimilated
assistant,assistanted
assize,assized
associate,associated
assoil,assoiled
assonance,assonanced
assort,assorted
assuage,assuaged
assume,assumed
assu,assured
asswage,asswaged
astatize,astatized
asteriate,asteriated
aston,astoned
astony,astonied
astrict,astricted
astringe,astringed
astrogate,astrogated
aswoon,aswooned
at,ated
athelr,athelred
athetize,athetized
atmosphere,atmosphered
atomise,atomised
atomize,atomized
aton,atoned
atrophiate,atrophiated
atrophy,atrophied
attach,attached
attack,attacked
attain,attained
attain,attainted
attatch,attatched
attemper,attempered
attend,attended
attenuate,attenuated
attermin,attermined
attest,attested
atticise,atticised
atticize,atticized
attire,attired
attitudinise,attitudinised
attitudinize,attitudinized
attorn,attorned
attract,attracted
attribut,attributed
attrit,attrited
attune,attuned
hair,haired
auction,auctioned
audit,audited
audition,auditioned
augment,augmented
augure,augured
aurate,aurated
aureol,aureoled
auricle,auricled
auriculate,auriculated
aurify,aurified
aurit,aurited
auscultate,auscultated
ausform,ausformed
austenitize,austenitized
author,authored
authorise,authorised
authorize,authorized
autoclave,autoclaved
autodecrement,autodecremented
autodial,autodialed
autodiall,autodialled
autoe,autoed
autograph,autographed
autoimmunize,autoimmunized
autoincrement,autoincremented
autoinhibit,autoinhibited
autolyze,autolyzed
automatize,automatized
automobil,automobiled
autopsy,autopsied
autosensitize,autosensitized
autosl,autosled
autotomise,autotomised
autotomize,autotomized
avail,availed
avalanch,avalanched
avenge,avenged
average,averaged
averr,averred
avert,averted
avianize,avianized
aviate,aviated
avoid,avoided
avouch,avouched
avow,avowed
avulse,avulsed
await,awaited
awak,awaked
awaken,awakened
award,awarded
aweary,awearied
aw,awed
fill,filled
inspire,inspired
voice,voiced
fruit,fruited
awn,awned
awninge,awninged
ax,axed
axhammer,axhammered
axiomatize,axiomatized
axise,axised
axl,axled
azote,azoted
azotise,azotised
azotize,azotized
blazon,blazoned
canopy,canopied
circle,circled
azure,azured
do,domed
foote,footed
mantle,mantled
pencil,penciled
vault,vaulted
vein,veined
baa,baaed
baalize,baalized
babbit,babbitted
babble,babbled
babelise,babelised
babelize,babelized
baby,babied
feature,featured
babyfy,babyfied
babish,babished
baccate,baccated
bach,bached
backbon,backboned
connect,connected
backdate,backdated
draw,drawn
back,backed
backen,backened
fan,fanged
backfill,backfilled
fillet,filleted
backfire,backfired
focus,focused
backgear,backgeared
gear,geared
backhand,backhanded
hande,handed
backhaule,backhauled
backlash,backlashed
backlog,backlogged
backpack,backpacked
backpedal,backpedaled
pedal,pedaled
pedall,pedalled
backscatter,backscattered
backslap,backslapped
backslide,backslided
backspace,backspaced
backsplice,backspliced
backstab,backstabbed
backstitch,backstitched
backstrap,backstrapped
strap,strapped
backstrok,backstroked
backtrack,backtracked
backwash,backwashed
backwater,backwatered
backwind,backwinded
bacterize,bacterized
badass,badassed
bad,badged
badger,badgered
leg,legged
hear,hearted
badinage,badinaged
badmouth,badmouthed
baff,baffed
baffle,baffled
bed,bedded
bag,bagged
bagpip,bagpiped
bagwig,bagwigged
breast,breasted
baye,bayed
bail,bailed
bayonet,bayoneted
bayonet,bayonetted
bait,baited
win,winged
baize,baized
bake,baked
bakshish,bakshished
balanc,balanced
balcony,balconied
baldachin,baldachined
bald,balded
baldface,baldfaced
baldhead,baldheaded
baldpate,baldpated
pate,pated
baldrick,baldricked
bal,baled
balkanise,balkanised
balkanize,balkanized
balladise,balladised
balladize,balladized
ballast,ballasted
ball,balled
ballyhoo,ballyhooed
ballyrag,ballyragged
ballise,ballised
balloon,ballooned
ballote,balloted
balsam,balsamed
baluster,balustered
balustrad,balustraded
bamboozl,bamboozled
bam,bammed
bandage,bandaged
bandana,bandanaed
bandanna,bandannaed
band,banded
banderol,banderoled
bandfil,bandfiled
bandy,bandied
bandyleg,bandylegged
bandlimit,bandlimited
bandoleer,bandoleered
bandolier,bandoliered
bandsaw,bandsawed
taile,tailed
ban,baned
bang,banged
bang,bangled
bangtail,bangtailed
banish,banished
banke,banked
bankroll,bankrolled
bankrupt,bankrupted
banquet,banqueted
banter,bantered
baptise,baptised
baptize,baptized
barbarianize,barbarianized
barbarise,barbarised
barbarize,barbarized
barbate,barbated
barbecue,barbecued
bar,barbed
barbel,barbeled
barbeque,barbequed
barber,barbered
bar,barded
ass,assed
bareback,barebacked
barebon,bareboned
bone,boned
bosom,bosomed
branch,branched
chest,chested
claw,clawed
bar,bared
bareface,barefaced
finger,fingered
barefist,barefisted
barefoote,barefooted
barehand,barehanded
hand,handed
barehead,bareheaded
bareknuckle,bareknuckled
bareleg,barelegged
bareneck,barenecked
neck,necked
pick,picked
rib,ribbed
skull,skulled
to,toed
wall,walled
barf,barfed
bargain,bargained
bar,barged
rig,rigged
barhop,barhopped
barken,barkened
form,formed
gal,galled
tan,tanned
barmybrain,barmybrained
barnacle,barnacled
barnstorm,barnstormed
baronet,baroneted
baronetise,baronetised
baronetize,baronetized
baronize,baronized
barrack,barracked
barrage,barraged
bar,barred
barrele,barreled
barrell,barrelled
barricad,barricaded
barricado,barricadoed
bartend,bartended
barter,bartered
bartizan,bartizaned
nerve,nerved
beg,begged
basebreed,basebred
base,based
baseheart,basehearted
mettle,mettled
soule,souled
spirit,spirited
wit,witted
bash,bashed
basiate,basiated
line,lined
basify,basified
basifix,basifixed
basin,basined
basinerve,basinerved
bask,basked
hilt,hilted
basque,basqued
basset,basseted
basset,bassetted
bastardise,bastardised
bastardize,bastardized
bast,basted
bastinad,bastinaded
bastinado,bastinadoed
bastion,bastioned
batch,batched
eare,eared
bate,bated
batfowl,batfowled
bath,bathed
bathroome,bathroomed
batike,batiked
bat,batted
battel,batteled
batten,battened
batter,battered
battery,batteried
powere,powered
battle,battled
battledor,battledored
fall,fallen
battlement,battlemented
scarr,scarred
spend,spent
battologise,battologised
battologize,battologized
bawl,bawled
beach,beached
beacon,beaconed
bead,beaded
eye,eyed
beak,beaked
bealtar,bealtared
beam,beamed
bean,beaned
beapron,beaproned
bear,bearded
bear,beared
beatify,beatified
beaue,beaued
beautie,beautied
beautify,beautified
beavere,beavered
beball,beballed
bebanner,bebannered
be,bebed
bebelt,bebelted
beble,bebled
beblood,beblooded
beblubber,beblubbered
bebother,bebothered
beboulder,bebouldered
bebutton,bebuttoned
becalm,becalmed
becap,becapped
becarpet,becarpeted
becassock,becassocked
bechain,bechained
bechance,bechanced
becharm,becharmed
bechignon,bechignoned
becircle,becircled
beck,becked
beckon,beckoned
beclamor,beclamored
beclasp,beclasped
becloak,becloaked
beclog,beclogged
becloth,beclothed
becloude,beclouded
becly,beclown
beclown,beclowned
becoiff,becoiffed
becomb,becombed
become,becomed
becousin,becousined
becoward,becowarded
becrawl,becrawled
becrim,becrimed
becrinolin,becrinolined
becripple,becrippled
becrowd,becrowded
becrust,becrusted
becudgel,becudgeled
becudgell,becudgelled
becuff,becuffed
becurse,becursed
becurtain,becurtained
becushion,becushioned
bedabble,bedabbled
bedagger,bedaggered
bedamn,bedamned
bedangle,bedangled
bedarken,bedarkened
bedau,bedaubed
bedaze,bedazed
bedazzl,bedazzled
bedeafen,bedeafened
bedeck,bedecked
bedevil,bedeviled
bedevill,bedevilled
bedew,bedewed
bediadem,bediademed
bediamond,bediamonded
bediaper,bediapered
bedight,bedighted
bedim,bedimmed
bedimple,bedimpled
bedirtie,bedirtied
bedizen,bedizened
bedlamise,bedlamised
bedlamize,bedlamized
bednight,bednighted
bedot,bedotted
bedrabble,bedrabbled
bedraggle,bedraggled
bedrape,bedraped
bedrench,bedrenched
bedrivel,bedriveled
bedrivell,bedrivelled
bedrug,bedrugged
bedumb,bedumbed
bedunce,bedunced
bedwarf,bedwarfed
beedge,beedged
braine,brained
beef,beefed
beefhead,beefheaded
beehead,beeheaded
be,been
bee,beeped
beeswinge,beeswinged
beetle,beetled
beetlehead,beetleheaded
beewinge,beewinged
befamily,befamilied
befan,befanned
befather,befathered
befern,beferned
befetish,befetished
befezze,befezzed
befillet,befilleted
befilm,befilmed
befinger,befingered
befit,befitted
beflag,beflagged
beflea,befleaed
befleck,beflecked
beflower,beflowered
befog,befogged
befool,befooled
create,created
beforemention,beforementioned
notice,noticed
recit,recited
say,said
beforest,beforested
taste,tasted
think,thought
warn,warned
befoule,befouled
befountain,befountained
befret,befretted
befriend,befriended
befrill,befrilled
befringe,befringed
befrock,befrocked
befrog,befrogged
befuddle,befuddled
befur,befurred
begable,begabled
begall,begalled
begarland,begarlanded
begarter,begartered
begaze,begazed
begem,begemmed
beggar,beggared
patch,patched
begird,begirded
begirdle,begirdled
beglad,begladded
beglo,beglobed
begloom,begloomed
begnaw,begnawed
begoggle,begoggled
begown,begowned
begrim,begrimed
begrim,begrimmed
begroan,begroaned
begrow,begrown
begrudge,begrudged
beguil,beguiled
begulf,begulfed
begum,begummed
begin,begun
behat,behatted
behave,behaved
behavior,behaviored
behead,beheaded
beheadlin,beheadlined
behoop,behooped
behoove,behooved
behove,behoved
behowl,behowled
beink,beinked
bejel,bejeled
bejell,bejelled
bejewel,bejeweled
bejewell,bejewelled
bejumble,bejumbled
bekilt,bekilted
bekiss,bekissed
beknight,beknighted
beknive,beknived
beknot,beknotted
belabor,belabored
belaboure,belaboured
belace,belaced
belady,beladied
belay,belayed
belate,belated
belattice,belatticed
belaude,belauded
belavender,belavendered
belch,belched
beleaguer,beleaguered
beleape,beleaped
beledger,beledgered
belfry,belfried
belibel,belibeled
bely,belied
believe,believed
belike,beliked
belimousin,belimousined
beliquor,beliquored
belittle,belittled
bottom,bottomed
crank,cranked
crown,crowned
bell,belled
face,faced
flower,flowered
hoode,hooded
bellyach,bellyached
flop,flopped
gull,gulled
pinch,pinched
whop,whopped
bellmouth,bellmouthed
mouth,mouthed
belozenge,belozenged
couple,coupled
belte,belted
belveder,belvedered
bemadam,bemadamed
bemadden,bemaddened
bemaze,bemazed
bemean,bemeaned
bemedal,bemedaled
bemedall,bemedalled
bemingle,bemingled
bemire,bemired
bemist,bemisted
bemiter,bemitered
bemir,bemitred
bemix,bemixed
bemoan,bemoaned
bemock,bemocked
bemuddle,bemuddled
bemurmure,bemurmured
bemuse,bemused
bemuslin,bemuslined
bemuzzl,bemuzzled
benam,benamed
bench,benched
harden,hardened
make,made
benday,bendayed
bend,bended
beneape,beneaped
benefice,beneficed
beneficiate,beneficiated
benefit,benefited
benefit,benefitted
beneighbor,beneighbored
benempt,benempted
benet,benetted
benight,benighted
benumb,benumbed
benzoate,benzoated
benzoylate,benzoylated
benzoinate,benzoinated
bepaint,bepainted
bepasture,bepastured
bepatch,bepatched
beperiwig,beperiwigged
bepew,bepewed
bepillar,bepillared
bepimple,bepimpled
bepistol,bepistoled
beplaide,beplaided
beplume,beplumed
beprank,bepranked
bepuff,bepuffed
bequeath,bequeathed
berak,beraked
berascal,berascaled
berate,berated
bereave,bereaved
berhym,berhymed
beriband,beribanded
beribbon,beribboned
berim,berimed
beringe,beringed
beringlet,beringleted
bero,berobed
berouge,berouged
berreave,berreaved
berrie,berried
berth,berthed
beruff,beruffed
beruffle,beruffled
bescorch,bescorched
bescoure,bescoured
bescreen,bescreened
bescribble,bescribbled
beseech,beseeched
beseem,beseemed
beshadow,beshadowed
besham,beshamed
beshawl,beshawled
beshoute,beshouted
beshrew,beshrewed
beshroude,beshrouded
besiege,besieged
beslave,beslaved
beslim,beslimed
beslush,beslushed
besmear,besmeared
besmil,besmiled
besmirch,besmirched
besmok,besmoked
besmooth,besmoothed
besmotter,besmottered
besmudge,besmudged
besmut,besmutted
besnow,besnowed
besooth,besoothed
besot,besotted
bespangle,bespangled
bespatter,bespattered
bespeck,bespecked
bespeckle,bespeckled
bespectacle,bespectacled
besp,besped
bespell,bespelled
bespot,bespotted
bespouse,bespoused
besprinkle,besprinkled
bespur,bespurred
bessemerize,bessemerized
bestatue,bestatued
conduct,conducted
consult,consulted
best-cultivate,best-cultivated
bestead,besteaded
best,bested
grac,graced
grounde,grounded
hat,hated
bestialise,bestialised
bestialize,bestialized
best-inform,best-informed
bestir,bestirred
learn,learned
like,liked
love,loved
manage,managed
mean,meant
bestow,bestowed
best-preserve,best-preserved
bestraddle,bestraddled
bestrap,bestrapped
bestrew,bestrewed
bestride,bestrided
bestubble,bestubbled
bestud,bestudded
beswarm,beswarmed
besweater,besweatered
betatter,betattered
betax,betaxed
bethank,bethanked
bethorn,bethorned
bethump,bethumped
betide,betided
betoken,betokened
betower,betowered
betroth,betrothed
betrouser,betrousered
bet,betted
balance,balanced
dresse,dressed
better,bettered
humore,humored
omen,omened
regulate,regulated
tatch,taught
betucker,betuckered
betumble,betumbled
beturban,beturbaned
betusk,betusked
betutor,betutored
betwattle,betwattled
beuncle,beuncled
beuniform,beuniformed
bevel,beveled
ed,edged
bevell,bevelled
bevessel,bevesseled
bevessell,bevesselled
bevill,bevilled
bevin,bevined
bevoil,bevoiled
bevomit,bevomited
bewail,bewailed
bewaiter,bewaitered
beware,bewared
beweary,bewearied
bewhisker,bewhiskered
bewig,bewigged
bewilder,bewildered
bewinge,bewinged
bewire,bewired
bewitch,bewitched
beworm,bewormed
beworry,beworried
bewray,bewrayed
bewrap,bewrapped
bewrath,bewrathed
bezzl,bezzled
biangulate,biangulated
biarcuate,biarcuated
biarticulate,biarticulated
biass,biassed
bib,bibbed
bibble,bibbled
bicarburet,bicarbureted
bicarburet,bicarburetted
bicch,bicched
bichromate,bichromated
build,built
bicycle,bicycled
biciliate,biciliated
bicolor,bicolored
biconnect,biconnected
bicorn,bicorned
bid,bided
bident,bidented
bield,bielded
bifange,bifanged
biff,biffed
bifidate,bifidated
biflect,biflected
biform,biformed
bifront,bifronted
bifurcate,bifurcated
bigamize,bigamized
bulk,bulked
bigeminate,bigeminated
big-fram,big-framed
gait,gaited
bege,bigged
biggen,biggened
bighead,bigheaded
bigheart,bighearted
hoof,hoofed
bight,bighted
bigmouth,bigmouthed
bigote,bigoted
bigwig,bigwigged
bike,biked
bikiny,bikinied
bilamellate,bilamellated
bilaminate,bilaminated
bilertin,bilertinned
bilge,bilged
bilineate,bilineated
bylin,bylined
bille,billed
billet,billeted
bilobate,bilobated
bilo,bilobed
bilst,bilsted
bimaculate,bimaculated
bimotor,bimotored
binge,binged
binn,binned
binominate,binominated
binucleate,binucleated
bioassay,bioassayed
biodegrad,biodegraded
bipart,biparted
bypass,bypassed
pass,passed
bipectinate,bipectinated
bip,biped
bipennate,bipennated
bipinnate,bipinnated
bipinnatipart,bipinnatiparted
bipinnatisect,bipinnatisected
biradiate,biradiated
birch,birched
birdbrain,birdbrained
dog,dogged
bird,birded
birdy,birdied
birdlim,birdlimed
birdmouth,birdmouthed
birdwit,birdwitted
birl,birled
byrl,byrled
birostrate,birostrated
bir,birred
birth,birthbed
birth,birthed
fire,fired
bisect,bisected
bisex,bisexed
bishop,bishoped
bister,bistered
bistipule,bistipuled
bisr,bistred
bisubstitute,bisubstituted
bisulcate,bisulcated
bitch,bitched
bite,bited
bitmap,bitmapped
bit,bitted
bittere,bittered
bitterheart,bitterhearted
rind,rinded
tongue,tongued
bituberculate,bituberculated
bitume,bitumed
bituminise,bituminised
bituminize,bituminized
bivalve,bivalved
bivault,bivaulted
bivocalize,bivocalized
bivouace,bivouaced
bivouack,bivouacked
blab,blabbed
blabber,blabbered
vise,vised
blackball,blackballed
border,bordered
bough,boughed
cap,capped
chin,chinned
crest,crested
black,blacked
blacken,blackened
blackfigure,blackfigured
figure,figured
gown,gowned
haft,hafted
haire,haired
blackheart,blackhearted
blackjack,blackjacked
blackleg,blacklegged
lid,lidded
lip,lipped
blacklist,blacklisted
blackmail,blackmailed
ma,maned
margin,margined
plume,plumed
root,rooted
blackshirt,blackshirted
shoulder,shouldered
spot,spotted
stol,stoled
throat,throated
toe,toed
blacktop,blacktopped
tress,tressed
tuft,tufted
veil,veiled
visa,visaged
blad,bladed
blakeberye,blakeberyed
blame,blamed
blanch,blanched
blandish,blandished
blank,blanked
blanket,blanketed
blankmind,blankminded
blar,blared
blarney,blarneyed
blasphem,blasphemed
blather,blathered
blat,blatted
blatter,blattered
blaw,blawed
blaze,blazed
bleach,bleached
blear,bleared
blearey,bleareyed
bleate,bleated
b,bled
bleep,bleeped
blemish,blemished
blench,blenched
blend,blended
bless,blessed
blether,blethered
blet,bletted
blind,blinded
blindfold,blindfolded
load,loaded
stamp,stamped
tool,tooled
blink,blinked
blinker,blinkered
blip,blipped
bliss,blissed
blister,blistered
blitheheart,blithehearted
blither,blithered
blitze,blitzed
blitzkriege,blitzkrieged
bloate,bloated
blob,blobbed
blockad,blockaded
block,blocked
